filename,freq,acc_amplitude_fft_m/s/s,pos_amplitude_fft_m,Folder,MinMax_amp_Volts,datetime,rewNum,accFile,beeID,hive,IT,accFileAndFolder,dateFrozenOrMarked,treatment,MinMax_amp_acc_m/s/s
2016_10_12__10_50_13_160_220_450_test.txt,430.0,3.4656432731668483,4.747743084361424e-07,Bee10_12Oct2016_Hive3_S_W,0.36180999999999996,2016_10_12__10_50_13_160,26,2016_10_12__10_50_13_160_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,35.57620452310718
2016_10_12__10_50_14_252_220_450_test.txt,410.0,2.0696135369864117,3.118615307103934e-07,Bee10_12Oct2016_Hive3_S_W,0.34948,2016_10_12__10_50_14_252,27,2016_10_12__10_50_14_252_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,34.363815142576215
2016_10_12__10_50_27_474_220_450_test.txt,400.0,1.2717634776252162,2.0133840760325416e-07,Bee10_12Oct2016_Hive3_S_W,0.40335,2016_10_12__10_50_27_474,28,2016_10_12__10_50_27_474_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,39.66076696165192
2016_10_12__10_50_42_423_220_450_test.txt,420.0,4.710253375798748,6.763725160023333e-07,Bee10_12Oct2016_Hive3_S_W,0.44228999999999996,2016_10_12__10_50_42_423,29,2016_10_12__10_50_42_423_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,43.48967551622418
2016_10_12__10_50_48_420_220_450_test.txt,380.0,0.7997263576185911,1.4028604768679216e-07,Bee10_12Oct2016_Hive3_S_W,0.24759,2016_10_12__10_50_48_420,30,2016_10_12__10_50_48_420_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,24.34513274336283
2016_10_12__10_51_00_152_220_450_test.txt,320.0,0.9231938096049648,2.28366917774546e-07,Bee10_12Oct2016_Hive3_S_W,0.22551999999999997,2016_10_12__10_51_00_152,31,2016_10_12__10_51_00_152_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.17502458210423
2016_10_12__10_51_11_154_220_450_test.txt,410.0,1.0680479329068209,1.609397393647699e-07,Bee10_12Oct2016_Hive3_S_W,0.32644,2016_10_12__10_51_11_154,32,2016_10_12__10_51_11_154_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,32.09832841691249
2016_10_12__10_51_16_721_220_450_test.txt,320.0,1.8195431570372964,4.500934237288451e-07,Bee10_12Oct2016_Hive3_S_W,0.22812,2016_10_12__10_51_16_721,33,2016_10_12__10_51_16_721_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.43067846607669
2016_10_12__10_51_17_270_220_450_test.txt,360.0,0.9854665917282656,1.926092621795685e-07,Bee10_12Oct2016_Hive3_S_W,0.19178,2016_10_12__10_51_17_270,34,2016_10_12__10_51_17_270_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,18.85742379547689
2016_10_12__10_51_20_673_220_450_test.txt,430.0,1.5886584117896363,2.1763757529189076e-07,Bee10_12Oct2016_Hive3_S_W,0.27128,2016_10_12__10_51_20_673,35,2016_10_12__10_51_20_673_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,26.67453294001967
