freq,amp,datetime,visitNum,treatment_rewarded,BeeNumCol,accFile,beeID,hive,treatment,totalRewards,meanFreqRewarded,totalBuzzesNotRewarded,meanFreqUnrewarded,IT_mm,amp_acc
240.0,0.5299, 2017_05_30__09_57_20_379,63, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_20_379_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,52.10422812192725
340.0,0.60583, 2017_05_30__09_57_23_345,64, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_23_345_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,59.570304818092424
340.0,0.66781, 2017_05_30__09_57_41_099,65, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_41_099_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,65.66470009832842
290.0,0.42508999999999997, 2017_05_30__09_57_48_263,66, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_48_263_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,41.7984267453294
340.0,0.4663, 2017_05_30__09_57_50_686,67, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_50_686_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,45.85054080629302
320.0,0.6327699999999999, 2017_05_30__09_57_51_259,68, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_57_51_259_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,62.219272369714844
360.0,0.37577, 2017_05_30__09_58_18_357,69, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_58_18_357_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,36.948869223205506
330.0,0.5532699999999999, 2017_05_30__09_58_48_080,70, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_58_48_080_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,54.402163225172075
320.0,0.77782, 2017_05_30__09_58_50_948,71, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_58_50_948_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,76.48180924287118
320.0,0.72882, 2017_05_30__09_58_53_545,72, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_58_53_545_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,71.6637168141593
310.0,0.50946, 2017_05_30__09_59_22_122,73, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_22_122_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,50.09439528023599
